
Date,Open,High,Low,Close,Volume
2023-01-03,130.28,130.90,124.17,125.07,112117500
2023-01-04,126.89,128.66,125.08,126.36,89113600
2023-01-05,127.12,127.77,124.76,125.02,80962700
2023-01-06,126.01,130.29,124.89,129.62,87754700
2023-01-09,130.47,133.41,129.49,130.15,70790800
2023-01-10,130.26,131.26,128.12,130.73,63896200
2023-01-11,131.25,133.51,130.46,133.49,69458900
2023-01-12,133.88,134.26,131.41,133.41,71379600
2023-01-13,132.03,134.92,131.66,134.76,57809700
2023-01-17,134.83,137.29,134.13,135.94,63646600
2023-01-18,136.82,138.61,135.03,135.21,69670800
2023-01-19,135.08,136.25,133.77,135.27,58280400
2023-01-20,135.28,138.02,134.22,137.87,80223900
2023-01-23,138.12,143.32,137.90,141.11,81760300
2023-01-24,140.31,143.16,140.30,142.53,66435100
2023-01-25,140.89,146.41,140.50,141.86,65799300
2023-01-26,143.17,144.25,141.90,143.96,54105100
2023-01-27,143.16,147.23,143.08,145.93,70555800
2023-01-30,144.96,145.55,142.85,143.00,64015300
2023-01-31,142.70,144.34,142.28,144.29,65874500
2023-02-01,143.97,146.61,141.32,145.43,77663600
2023-02-02,148.90,151.18,148.17,150.82,118339000
2023-02-03,148.03,157.38,147.83,154.50,154357300
2023-02-06,152.58,153.10,150.78,151.73,69858300
2023-02-07,150.64,155.23,150.64,154.65,83322600
2023-02-08,153.88,154.58,151.17,151.92,64120100
2023-02-09,153.78,154.33,150.42,150.87,56007100
2023-02-10,149.46,151.34,149.22,150.99,57450700
2023-02-13,150.95,154.26,150.92,153.85,62199000
2023-02-14,152.12,153.77,150.86,153.20,61707600
2023-02-15,153.11,155.50,152.88,155.33,65573800
2023-02-16,153.51,156.33,153.35,153.71,68167900
2023-02-17,152.35,152.68,150.87,152.55,59144100
2023-02-21,150.20,151.30,148.41,148.48,58867200
2023-02-22,148.87,149.95,148.16,148.91,51011300
2023-02-23,149.15,150.34,147.24,149.40,48394200
2023-02-24,147.11,147.19,145.72,146.71,55469600
2023-02-27,147.71,149.17,147.45,147.92,44998500
2023-02-28,147.05,149.08,146.83,147.41,50547000
2023-03-01,146.83,147.22,145.01,145.31,55479000
2023-03-02,144.38,146.71,143.90,145.91,52238100
2023-03-03,148.04,151.11,147.33,151.03,70732300
2023-03-06,153.79,156.30,153.46,153.83,87558000
2023-03-07,153.70,154.03,151.13,151.60,56182000
2023-03-08,152.81,153.47,151.83,152.87,47204800
2023-03-09,153.56,154.54,150.23,150.59,53833600
2023-03-10,150.21,150.94,147.61,148.50,68572400
2023-03-13,147.81,153.14,147.70,150.47,84457100
2023-03-14,151.28,153.40,150.10,152.59,73695900
2023-03-15,151.19,153.25,149.92,152.99,77167900
2023-03-16,152.16,156.46,151.64,155.89,76161100
2023-03-17,156.08,156.74,154.28,155.00,98944600
2023-03-20,155.07,157.82,154.15,157.40,73641400
2023-03-21,157.32,159.40,156.54,159.28,73938300
2023-03-22,159.30,162.14,157.81,157.83,75701800
2023-03-23,158.83,161.55,157.68,158.93,67622100
2023-03-24,158.86,160.34,157.85,160.25,59196500
2023-03-27,159.94,160.77,157.87,158.28,52390300
2023-03-28,157.97,158.49,155.98,156.31,45992200
2023-03-29,159.37,161.05,159.35,160.77,51305700
2023-03-30,161.53,162.47,161.27,162.36,49501700
2023-03-31,162.44,165.00,161.91,164.90,68749800
2023-04-03,164.27,166.30,164.22,166.17,56976200
2023-04-04,166.60,166.84,165.11,165.63,46278300
2023-04-05,164.74,165.05,161.80,163.76,51511700
2023-04-06,162.43,164.96,162.00,164.66,45390100
2023-04-10,161.42,162.03,160.08,162.03,47716900
2023-04-11,162.35,162.36,160.51,160.80,47644200
2023-04-12,161.22,162.06,159.78,160.10,50133100
2023-04-13,161.63,165.80,161.42,165.56,68445600
2023-04-14,164.59,166.32,163.82,165.21,49386600
2023-04-17,165.09,165.39,164.03,165.23,41516200
2023-04-18,166.10,167.41,165.65,166.47,49923000
2023-04-19,165.80,168.16,165.54,167.63,47720200
2023-04-20,166.09,167.87,165.56,166.65,52456400
2023-04-21,165.05,166.46,164.49,165.02,58337300
2023-04-24,165.00,165.60,163.89,165.33,41949600
2023-04-25,165.19,166.31,163.73,163.77,48714100
2023-04-26,163.06,165.28,162.80,163.76,45498800
2023-04-27,165.19,168.56,165.19,168.41,64902300
2023-04-28,168.49,169.85,167.88,169.68,55209200
2023-05-01,169.28,170.45,168.64,169.59,52472900
2023-05-02,170.09,170.35,167.54,168.54,48425700
2023-05-03,169.50,170.92,167.16,167.45,48714100
2023-05-04,164.89,167.04,164.31,165.79,81235400
2023-05-05,170.98,174.30,170.76,173.57,113316900
2023-05-08,172.48,173.85,172.11,173.50,55962800
2023-05-09,173.05,173.54,171.60,171.77,45316900
2023-05-10,173.02,174.01,171.90,173.56,53724500
2023-05-11,173.85,174.59,172.17,173.75,49514700
2023-05-12,173.62,174.06,171.00,172.57,45497800
2023-05-15,173.16,173.21,171.47,172.07,37280300
2023-05-16,171.99,173.14,171.81,172.07,42110100
2023-05-17,171.71,172.93,170.42,172.69,50747300
2023-05-18,173.00,175.24,172.58,175.05,65496700
2023-05-19,176.39,176.39,174.94,175.16,55772400
2023-05-22,173.98,174.71,173.45,174.20,43570900
2023-05-23,173.13,173.38,171.28,171.56,50747300
2023-05-24,171.09,172.42,170.52,171.84,46967600
2023-05-25,172.41,173.80,171.69,172.99,56058300
2023-05-26,173.32,175.77,173.11,175.43,54835000
